Customer,Cen1,Cen2,Cen3
c1,0.000000,5997.927000,0.000000,
c2,0.000000,0.000000,6653.629000,
c3,5154.747000,0.000000,0.000000,
c4,4761.837000,0.000000,0.000000,
c5,960.010000,0.000000,0.000000,
c6,0.000000,0.000000,0.000000,
c7,0.000000,7000.000000,0.000000,
c8,0.000000,0.000000,4371.787000,
c9,0.000000,0.000000,0.000000,
c10,5344.083000,0.000000,0.000000,
c11,0.000000,0.000000,0.000000,
c12,0.000000,0.000000,0.000000,
c13,0.000000,0.000000,0.000000,
c14,0.000000,4103.515000,0.000000,
c15,0.000000,6000.000000,0.000000,
c16,1000.000000,0.000000,0.000000,
c17,0.000000,0.000000,0.000000,
c18,0.000000,0.000000,5154.764000,
c19,7000.000000,0.000000,0.000000,
c20,0.000000,0.000000,0.000000,
c21,0.000000,0.000000,0.000000,
c22,2113.757000,0.000000,0.000000,
c23,0.000000,7000.000000,0.000000,
c24,0.000000,0.000000,4810.460000,
c25,0.000000,0.000000,0.000000,
